"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UHM102.35765__k141_114743_3",296.512279806481,2.23014556349096,0.86183068726178,2.58768409671812,0.00966235483232043,0.250029250706707
"UHM102.35765__k141_71881_367",455.275522162968,2.15575534368358,1.26242122066317,1.70763554065666,0.0877039894688118,0.807569679332565
"UHM102.35765__k141_1625_4",850.821481633864,2.07832273924511,0.619837155879128,3.3530141256172,0.000799366267997412,0.151250266317373
"UHM102.35765__k141_139535_60",730.786657223364,2.35844645789765,1.16403857588152,2.02608960455767,0.042755603185452,0.683647046379392
"UHM102.35765__k141_130140_13",604.825268083504,2.68217422430326,1.22949250917995,2.18152953700566,0.0291442722242171,0.535212572041487
"UHM102.35765__k141_116458_2",221.919203528272,2.38123268665669,0.863937674149545,2.75625517662575,0.00584673640324291,0.242212082840638
"UHM102.35765__k141_82395_77",1236.54958628033,2.06569870560828,1.18885365109335,1.73755508401603,0.0822892400287782,0.807569679332565
"UHM102.35765__k141_44818_322",801.032118990943,2.52361904798515,1.23708934022542,2.03996507441031,0.0413538044509257,0.670316685655313
"UHM102.35765__k141_74286_1",186.179821847653,2.1935337225864,0.966148286051644,2.27039032646914,0.0231839108968425,0.463640014693846
"UHM102.35765__k141_107481_81",787.989058650319,2.13870770021248,1.21378133721071,1.76202058364752,0.0780658198009256,0.807569679332565
"UHM102.35766__k141_140213_2",159.497233589755,2.40822484508787,0.84763807551058,2.84110036425305,0.00449581609405672,0.242212082840638
"UHM102.35766__k141_48555_40",662.26867160043,3.23403516616904,1.35754101034133,2.3822743781095,0.0172060720594148,0.37124262420795
"UHM102.35766__k141_86948_8",163.024948541068,2.29946665604427,0.882808428875234,2.60471760444558,0.00919500114196984,0.245565209686817
"UHM102.35766__k141_21982_8",184.721380174232,2.34679818304245,0.914606417855977,2.56591046949333,0.0102905385627416,0.257715334200735
"UHM102.35766__k141_76467_3",176.60889174776,2.39944977705256,0.886147093264274,2.70773305616089,0.00677444875831162,0.242212082840638
"UHM102.35766__k141_81721_8",212.268426938785,2.4320948473398,0.913553017929208,2.66223722061883,0.00776231520488666,0.242212082840638
"UHM102.35766__k141_33958_3",330.396531355839,2.31998984624669,0.893501529442411,2.59651468945384,0.00941748787884856,0.247691593737406
"UHM102.35766__k141_81983_3",453.65748028337,2.44742597217351,0.859517419092049,2.8474419689584,0.00440721285488249,0.242212082840638
"UHM102.35766__k141_55235_8",391.196634094902,2.24509124136427,0.914432061879977,2.45517555098472,0.0140815802715151,0.320030093313543
"UHM102.35766__k141_38459_7",531.365863221034,2.1612671462784,0.612078339936684,3.53103027057284,0.000413944372396685,0.106241136761981
"UHM102.35766__k141_136033_3",192.930912234647,2.46192663094511,0.87295106057461,2.82023442336455,0.00479885778747666,0.242212082840638
"UHM102.35766__k141_71728_55",387.674029975746,2.99819714085574,1.16951705539707,2.56361985233109,0.0103586929999129,0.258595958396003
"UHM102.35766__k141_131075_2",316.795462093227,2.37626268909101,0.91714609268758,2.59093148631062,0.00957165454865966,0.24924666156643
"UHM102.35766__k141_7277_5",244.170163175121,2.3902422394985,0.923532830414289,2.5881508061021,0.0096492725726178,0.249919101482195
"UHM102.35766__k141_120935_44",2596.09428456839,2.23439526797537,0.703643496740034,3.17546495963833,0.00149596587663318,0.219115153651066
"UHM102.35766__k141_169713_38",482.315931641397,2.00118244006099,1.23791336997205,1.61657712777282,0.105969592351219,0.807569679332565
"UHM102.35766__k141_94014_269",212.018203660282,2.49050727218977,0.904228653360011,2.75428926404326,0.00588197560114506,0.242212082840638
"UHM102.35766__k141_158210_4",226.323893106738,2.40878474491352,0.83795317180469,2.87460543854228,0.0040453267478445,0.242212082840638
"UHM102.35766__k141_115300_2",233.030045796036,2.45476369219788,0.880862919929841,2.78677151309014,0.00532360002135652,0.242212082840638
"UHM102.35766__k141_23925_55",392.234101793665,3.40479053597057,1.44511340116788,2.35607152574943,0.0184693610651222,0.391473959721888
"UHM102.35766__k141_62059_5",195.148725469885,2.46786830157086,0.903006034310694,2.73294774099123,0.00627702908794188,0.242212082840638
"UHM102.35766__k141_137444_6",383.574620593133,2.25897960529166,0.699237787571706,3.23063147536203,0.00123517082570667,0.196279536601755
"UHM102.35766__k141_99653_2",242.658088364689,2.47437748717248,0.880645302588499,2.80973222692439,0.00495827338397877,0.242212082840638
"UHM102.35766__k141_137612_23",262.527138374159,2.04753148190216,0.717828987330981,2.85239453691506,0.00433912080925837,0.242212082840638
"UHM102.35766__k141_14440_2",2537.92829958569,2.27628789760833,0.776699756459267,2.9307179237254,0.00338179702129481,0.242212082840638
"UHM102.35766__k141_14570_5",199.972461661015,2.37271809033528,0.877754005637578,2.70316976635362,0.00686816575358504,0.242212082840638
"UHM102.35766__k141_74235_12",174.049692660901,2.5058602946592,0.867499276249302,2.88860217324154,0.00386958292842951,0.242212082840638
"UHM102.35766__k141_19266_8",722.697564330601,2.41358870447504,0.847377801819682,2.84830296391059,0.00439530606618639,0.242212082840638
"UHM102.35766__k141_36371_4",302.147820270758,2.39046028132053,0.842709658290532,2.83663567612322,0.0045591602932834,0.242212082840638
"UHM102.35766__k141_100501_2",256.193757556234,2.44519898679153,0.847111403107075,2.88651407338269,0.00389535325754119,0.242212082840638
"UHM102.35766__k141_116609_10",176.28387895384,2.30811772140178,0.914829136166559,2.52300416564514,0.0116357022656476,0.27797745066748
"UHM102.35766__k141_57968_2",328.934348404905,2.40731350747729,0.825062819106406,2.91773359764843,0.00352585441151548,0.242212082840638
"UHM102.35766__k141_117336_12",275.140979707573,2.38642744124361,0.840323183393885,2.83989242282397,0.0045128749945007,0.242212082840638
"UHM102.35766__k141_19918_5",225.82838005704,2.3919556377167,0.861128182594003,2.77769986636756,0.00547451598175372,0.242212082840638
"UHM102.35766__k141_30325_2",230.28713883278,2.47481563257039,0.909384052985282,2.72141965151707,0.00650021848750523,0.242212082840638
"UHM102.35766__k141_113086_2",194.419624358842,2.46941173193903,0.86584439194812,2.85202717128299,0.00434413871635698,0.242212082840638
"UHM102.35766__k141_25175_3",310.635759761492,2.50270596600896,0.916596113425769,2.73043484403957,0.00632508346472695,0.242212082840638
"UHM102.35766__k141_90777_7",414.080699908819,2.340795373195,0.948427889170845,2.46807943958862,0.0135840169766707,0.312383890342495
"UHM102.35766__k141_134503_6",343.933379249765,2.30930959531965,0.909654430413324,2.53866690262847,0.0111275712216132,0.269462671460801
"UHM102.35766__k141_149877_3",554.902358886155,2.43898039896514,0.866775245803201,2.81385562263612,0.00489512082899452,0.242212082840638
"UHM102.35766__k141_107748_3",399.071866754468,2.38555717861126,0.873151394615739,2.73212319572726,0.00629276059982072,0.242212082840638
"UHM102.35766__k141_144903_1",283.909440238603,2.42445587270373,0.883599929022846,2.7438389174441,0.00607253276501094,0.242212082840638
"UHM102.35766__k141_15266_11",266.935614048407,2.43184073178879,0.930943929410617,2.6122311505145,0.0089953411611472,0.243824574016778
"UHM102.35766__k141_140133_182",371.067311265564,2.01887920544842,1.22998006283099,1.64139181313368,0.100716108230239,0.807569679332565
"UHM102.35766__k141_25867_4",160.234286532271,2.34624550927552,0.840973998726513,2.78991444780509,0.00527219707913508,0.242212082840638
"UHM102.35766__k141_41837_5",189.910707548148,2.37113109670406,0.724698017324904,3.27188848322874,0.00106831705394553,0.180072894213957
"UHM102.35767__k141_42443_7",291.141259398088,2.44145501275836,0.915380100033476,2.66714888456618,0.00764977750223816,0.242212082840638
"UHM102.35767__k141_42443_39",421.193896540303,2.34540806029427,0.854485381494971,2.74481940953846,0.00605442044785056,0.242212082840638
"UHM102.35767__k141_170765_25",368.616112274793,2.44873246584399,0.955290334077332,2.56333847260069,0.010367092742562,0.258653635758846
"UHM102.35767__k141_170765_57",181.992679878052,2.37565585737189,0.810635748807648,2.93060830448967,0.00338299044754809,0.242212082840638
"UHM102.35767__k141_170765_89",155.932772791362,2.32304020929004,0.909142186865674,2.55520010274616,0.0106126768524965,0.261554608833809
"UHM102.35767__k141_64333_24",180.883405587668,2.16567819743728,0.878354742075079,2.46560767955888,0.0136781055969168,0.313375432787182
"UHM102.35767__k141_64333_56",487.578458674185,2.46509346889911,0.879028061967314,2.80433990171155,0.00504197206455581,0.242212082840638
"UHM102.35767__k141_64333_88",182.56970496949,2.43816572084923,0.846078688137828,2.88172454292105,0.00395505320923231,0.242212082840638
"UHM102.35767__k141_57294_20",178.848902000016,2.41279998239805,0.905181927247346,2.66554148925108,0.00768644465405399,0.242212082840638
"UHM102.35767__k141_1081_9",484.601553629335,2.14513764590464,1.32755865756377,1.61585149829931,0.106126424143988,0.807569679332565
"UHM102.35767__k141_71693_18",538.033940373692,2.37964950253207,0.844630803597893,2.8173842256231,0.00484165665524608,0.242212082840638
"UHM102.35767__k141_171495_31",170.562792227775,2.31176200320437,0.856967806559811,2.6976065909461,0.00698399220290175,0.242212082840638
"UHM102.35767__k141_178309_8",434.528334595283,2.39511347044807,0.760725944587625,3.14845771659124,0.00164134466952781,0.230321461002909
"UHM102.35767__k141_178309_40",296.524959315192,2.42309425235786,0.868065525920874,2.79137251739995,0.00524850282991736,0.242212082840638
"UHM102.35767__k141_178309_72",498.911656980446,2.41416214963496,0.886448782867319,2.72340849950301,0.00646121108822196,0.242212082840638
"UHM102.35767__k141_178309_136",175.140957280925,2.44067878528526,0.880170782950564,2.77296046694877,0.00555488685641035,0.242212082840638
"UHM102.35767__k141_86019_24",279.365959043187,2.3734927047239,0.85360580936816,2.78054891224412,0.00542670840326281,0.242212082840638
"UHM102.35767__k141_86019_56",550.481811402334,2.43696152312214,0.861004894321725,2.830368955152,0.00464943533127162,0.242212082840638
"UHM102.35767__k141_86019_88",266.475659796138,2.45184837120009,0.875253593645428,2.80130054763689,0.00508970926496012,0.242212082840638
"UHM102.35767__k141_15723_5",288.704915170713,2.35968613647211,0.83316816968784,2.83218469250476,0.00462311366786602,0.242212082840638
"UHM102.35767__k141_22405_2",169.049643617265,2.27507018377123,0.843468025004722,2.69728088834012,0.0069908274459181,0.242212082840638
"UHM102.35767__k141_22405_34",501.341509121276,2.37403624618914,0.861584166133763,2.75543161017257,0.0058614756925692,0.242212082840638
"UHM102.35767__k141_22405_66",710.412849572515,2.4253790612853,0.888310674147742,2.73032749900505,0.00632714358887643,0.242212082840638
"UHM102.35767__k141_22405_98",163.216193485489,2.47146179330826,0.907714700466939,2.72272972117441,0.00647450027509492,0.242212082840638
"UHM102.35767__k141_22405_130",370.639387553879,2.48183964861962,0.899366951184434,2.75954063616761,0.00578826878892573,0.242212082840638
"UHM102.35767__k141_22405_226",352.941305980766,2.36305147751367,0.882884797174339,2.67651168654912,0.00743929712824111,0.242212082840638
"UHM102.35767__k141_22405_290",225.166106281976,2.35333083506364,0.87983354439292,2.67474552437919,0.00747859928656556,0.242212082840638
"UHM102.35767__k141_206655_3",315.600668692002,2.22894842645238,0.74981270119773,2.97267360621115,0.00295218203759836,0.242212082840638
"UHM102.35767__k141_144305_24",1251.19421674641,2.41081979194177,0.894248242171167,2.69591784277762,0.0070194977510556,0.242212082840638
"UHM102.35767__k141_144305_120",208.798658361514,2.37559192651279,0.878433160887805,2.70435137502306,0.0068437877685861,0.242212082840638
"UHM102.35767__k141_144305_152",202.226392620001,2.42533774993042,0.770244931379105,3.14878767924887,0.00163949265175961,0.230321461002909
"UHM102.35767__k141_151069_39",232.483270258368,2.38557881056958,0.808914802228869,2.94911009663367,0.00318690422515193,0.242212082840638
"UHM102.35767__k141_151069_71",237.410733756805,2.34271824240069,0.893123977396917,2.62306051756525,0.00871437920271135,0.242471087190193
"UHM102.35767__k141_136334_14",424.846590151211,2.30795529987669,0.876865798304714,2.63205077029891,0.00848711790674151,0.242471087190193
"UHM102.35767__k141_136334_78",316.712799047432,2.37074410094074,0.876688763124901,2.70420267791545,0.00684685128354877,0.242212082840638
"UHM102.35767__k141_136334_110",229.102310778838,2.35397780656499,0.880380072590947,2.67381995555313,0.00749927011136072,0.242212082840638
"UHM102.35767__k141_136334_174",345.84149123197,2.44118777689582,0.88323725630785,2.76390942463251,0.00571133906287994,0.242212082840638
"UHM102.35767__k141_136334_238",154.350803376421,2.40635091428599,0.899307180889401,2.67578305324566,0.00745548879971235,0.242212082840638
"UHM102.35767__k141_136334_302",242.315943422193,2.43966256212986,0.919680732572284,2.65272770834972,0.00798442522225695,0.242234257930839
"UHM102.35767__k141_186455_61",838.226407327605,2.43569655492261,0.879031090689805,2.77088783402557,0.00559036806132404,0.242212082840638
"UHM102.35767__k141_186455_125",294.488397322752,2.43996726914963,0.862335672310892,2.82948664597278,0.00466227456649442,0.242212082840638
"UHM102.35767__k141_186455_157",398.782980854208,2.43695669905792,0.883090001340828,2.75957908634205,0.00578758766664852,0.242212082840638
"UHM102.35767__k141_136666_157",460.018377090493,2.01145949801911,1.20376426583363,1.67097458789086,0.0947266973353107,0.807569679332565
"UHM102.35767__k141_124081_23",237.76037770529,2.3953508474694,0.872665837180023,2.74486607062546,0.00605355970684261,0.242212082840638
